Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
PINEWOOD GARDENS,BALMORAL PARK,10,Non-Landed Properties,4,"8,450",190 to 200,"2,000 to 2,100",Apr-26
MARTIN PLACE RESIDENCES,MARTIN PLACE,09,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Apr-26
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Apr-26
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Apr-26
CHANGI GREEN,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,2,"3,250",90 to 100,"1,000 to 1,100",Apr-26
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Apr-26
THE METZ,DEVONSHIRE ROAD,09,Non-Landed Properties,2,"7,500",90 to 100,"1,000 to 1,100",Apr-26
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,350",80 to 90,"900 to 1,000",Apr-26
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"11,500",210 to 220,"2,300 to 2,400",Apr-26
ICON,GOPENG STREET,02,Non-Landed Properties,2,"5,600",80 to 90,"900 to 1,000",Apr-26
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"3,600",50 to 60,500 to 600,Apr-26
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,3,"6,200",120 to 130,"1,300 to 1,400",Apr-26
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Apr-26
THE WHARF RESIDENCE,TONG WATT ROAD,09,Non-Landed Properties,2,"6,300",90 to 100,"1,000 to 1,100",Apr-26
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,780",140 to 150,"1,600 to 1,700",Apr-26
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,3,"4,000",70 to 80,700 to 800,Apr-26
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Apr-26
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Apr-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Apr-26
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Apr-26
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"6,400",120 to 130,"1,300 to 1,400",Apr-26
THE GRANGE,GRANGE GARDEN,10,Non-Landed Properties,4,"11,800",210 to 220,"2,200 to 2,300",Apr-26
THE TANAMERA,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,3,"4,650",120 to 130,"1,300 to 1,400",Apr-26
VIVA,SUFFOLK WALK,11,Non-Landed Properties,3,"9,200",140 to 150,"1,500 to 1,600",Apr-26
JEWEL @ BUANGKOK,COMPASSVALE BOW,19,Non-Landed Properties,1,"2,950",40 to 50,400 to 500,Apr-26
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,2,"9,500",80 to 90,800 to 900,Apr-26
THE GLADES,BEDOK RISE,16,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Apr-26
CENTRA RESIDENCE,LORONG 7 GEYLANG,14,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
THE MERASAGA,JALAN MERAH SAGA,10,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Apr-26
BALMORAL 8,BALMORAL ROAD,10,Non-Landed Properties,2,"6,300",150 to 160,"1,700 to 1,800",Apr-26
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Apr-26
NATHAN RESIDENCES,NATHAN ROAD,10,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Apr-26
THE DRAYCOTT,DRAYCOTT PARK,10,Non-Landed Properties,3,"7,900",240 to 250,"2,600 to 2,700",Apr-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Apr-26
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,780",60 to 70,600 to 700,Apr-26
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,2,"4,750",60 to 70,700 to 800,Apr-26
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,900",40 to 50,500 to 600,Apr-26
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,700",70 to 80,800 to 900,Apr-26
THE FOLIAGE,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,900",100 to 110,"1,100 to 1,200",Apr-26
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,600",50 to 60,600 to 700,Apr-26
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Apr-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"5,200",60 to 70,600 to 700,Apr-26
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,Apr-26
LEEDON RESIDENCE,LEEDON HEIGHTS,10,Non-Landed Properties,4,"16,200",230 to 240,"2,400 to 2,500",Apr-26
THE COLONNADE,GRANGE ROAD,10,Non-Landed Properties,3,"19,000",370 to 380,"3,900 to 4,000",Apr-26
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Apr-26
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Apr-26
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"6,000",160 to 170,"1,700 to 1,800",Apr-26
RV POINT,RIVER VALLEY ROAD,09,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,Apr-26
L'VIV,NEWTON ROAD,11,Non-Landed Properties,1,"3,700",50 to 60,600 to 700,Apr-26
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Apr-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Apr-26
LA BRISA,LORONG 28 GEYLANG,14,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Apr-26
HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,900",70 to 80,800 to 900,Apr-26
THE MARBELLA,MOUNT SINAI RISE,10,Non-Landed Properties,3,"6,300",130 to 140,"1,400 to 1,500",Apr-26
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Apr-26
THE BAYRON,ST. THOMAS WALK,09,Non-Landed Properties,2,"4,400",80 to 90,800 to 900,Apr-26
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,NA,"2,450",30 to 40,300 to 400,Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,4,"9,300",160 to 170,"1,700 to 1,800",Apr-26
BELLE VUE RESIDENCES,OXLEY WALK,09,Non-Landed Properties,3,"10,000",180 to 190,"2,000 to 2,100",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,Apr-26
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Apr-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Apr-26
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,850",80 to 90,800 to 900,Apr-26
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Apr-26
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,1,"3,400",60 to 70,600 to 700,Apr-26
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,2,"6,100",100 to 110,"1,100 to 1,200",Apr-26
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,3,"9,300",130 to 140,"1,400 to 1,500",Apr-26
IRWELL HILL RESIDENCES,IRWELL HILL,09,Non-Landed Properties,1,"4,600",40 to 50,500 to 600,Apr-26
THE TEMBUSU,TAMPINES ROAD,19,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Apr-26
KOVAN REGENCY,KOVAN RISE,19,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
IRESIDENCES,IRRAWADDY ROAD,12,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Apr-26
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Apr-26
KENSINGTON PARK CONDOMINIUM,KENSINGTON PARK DRIVE,19,Non-Landed Properties,3,"5,250",150 to 160,"1,600 to 1,700",Apr-26
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"13,311",140 to 150,"1,500 to 1,600",Apr-26
THE LANDMARK,CHIN SWEE ROAD,03,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Apr-26
TREASURES@G6,LORONG 6 GEYLANG,14,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Apr-26
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,500",50 to 60,600 to 700,Apr-26
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"5,450",60 to 70,600 to 700,Apr-26
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Apr-26
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,2,"5,650",90 to 100,"1,000 to 1,100",Apr-26
CITYSCAPE @FARRER PARK,MERGUI ROAD,08,Non-Landed Properties,2,"4,300",90 to 100,"900 to 1,000",Apr-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,2,"6,200",70 to 80,800 to 900,Apr-26
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Apr-26
JOOL SUITES,SING JOO WALK,08,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Apr-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Apr-26
OXLEY EDGE,RIVER VALLEY ROAD,09,Non-Landed Properties,1,"3,200",30 to 40,300 to 400,Apr-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Apr-26
70@TRURO,TRURO ROAD,08,Non-Landed Properties,3,"4,400",70 to 80,800 to 900,Apr-26
PEBBLE BAY,TANJONG RHU ROAD,15,Non-Landed Properties,2,"6,200",120 to 130,"1,300 to 1,400",Apr-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",40 to 50,500 to 600,Apr-26
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,4,"7,400",140 to 150,"1,500 to 1,600",Apr-26
TIERRA VUE,ST. PATRICK'S ROAD,15,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Apr-26
SANCTUARY GREEN,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,200",100 to 110,"1,100 to 1,200",Apr-26
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Apr-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,600",40 to 50,500 to 600,Apr-26
D'LOTUS,LORONG AMPAS,12,Non-Landed Properties,3,"5,400",90 to 100,"1,000 to 1,100",Apr-26
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,700",90 to 100,"1,000 to 1,100",Apr-26
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,300",120 to 130,"1,300 to 1,400",Apr-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,Apr-26
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,Apr-26
WATERFALL GARDENS,FARRER ROAD,10,Non-Landed Properties,4,"12,500",200 to 210,"2,100 to 2,200",Apr-26
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Apr-26
LIEN TOWERS,HOLLAND PARK,10,Non-Landed Properties,5,"15,000",460 to 470,"5,000 to 5,100",Apr-26
LA CRYSTAL,KILLINEY ROAD,09,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Apr-26
CHANGI COURT,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,3,"3,900",100 to 110,"1,100 to 1,200",Apr-26
CASA SARINA,LORONG SARINA,14,Non-Landed Properties,3,"4,100",110 to 120,"1,200 to 1,300",Apr-26
THE COTERIE @ HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,1,"3,250",40 to 50,400 to 500,Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,4,"9,800",130 to 140,"1,400 to 1,500",Apr-26
OLA RESIDENCES,MOUNTBATTEN ROAD,15,Non-Landed Properties,3,"7,500",140 to 150,"1,500 to 1,600",Apr-26
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,000",70 to 80,700 to 800,Apr-26
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,200",50 to 60,600 to 700,Apr-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,NA,"3,850",30 to 40,400 to 500,Apr-26
ONZE @ TANJONG PAGAR,KEE SENG STREET,02,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Apr-26
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Apr-26
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Apr-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
THE SERENADE @ HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,500",100 to 110,"1,100 to 1,200",Apr-26
LAUREL TREE,HILLVIEW TERRACE,23,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Apr-26
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,150",30 to 40,400 to 500,Apr-26
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,2,"3,400",80 to 90,"900 to 1,000",Apr-26
ONE BERNAM,BERNAM STREET,02,Non-Landed Properties,2,"5,500",70 to 80,800 to 900,Apr-26
NON-LANDED HOUSING DEVELOPMENT,RACE COURSE ROAD,08,Non-Landed Properties,NA,"2,180",30 to 40,300 to 400,Apr-26
CENTRO RESIDENCES,ANG MO KIO AVENUE 8,20,Non-Landed Properties,3,"6,250",100 to 110,"1,100 to 1,200",Apr-26
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,2,"3,750",70 to 80,800 to 900,Apr-26
CHESTNUT VILLE,JALAN PAKIS,23,Non-Landed Properties,3,"6,200",190 to 200,"2,000 to 2,100",Apr-26
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,3,"8,350",130 to 140,"1,400 to 1,500",Apr-26
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,1,"5,500",50 to 60,600 to 700,Apr-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"7,300",90 to 100,"900 to 1,000",Apr-26
GRANGE HEIGHTS,ST. THOMAS WALK,09,Non-Landed Properties,4,"13,000",250 to 260,"2,700 to 2,800",Apr-26
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"6,800",90 to 100,"900 to 1,000",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,NA,"4,500",60 to 70,700 to 800,Apr-26
THOMSON V TWO,SIN MING ROAD,20,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Apr-26
THE CENTREN,LORONG 27 GEYLANG,14,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Apr-26
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",Apr-26
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,300",30 to 40,400 to 500,Apr-26
THE CREEK @ BUKIT,TOH TUCK ROAD,21,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,100",50 to 60,600 to 700,Apr-26
BALESTIER POINT,BALESTIER ROAD,12,Non-Landed Properties,2,"3,900",100 to 110,"1,100 to 1,200",Apr-26
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,2,"8,700",120 to 130,"1,300 to 1,400",Apr-26
CASA CAMBIO,LIM TUA TOW ROAD,19,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Apr-26
MARINE VILLE,MARINE PARADE,15,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",Apr-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
LEITH GROVE,LEITH PARK,19,Non-Landed Properties,2,"3,100",70 to 80,700 to 800,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
RICCHEZZA,LORONG M TELOK KURAU,15,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Apr-26
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Apr-26
THE COTERIE @ HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Apr-26
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"5,700",70 to 80,800 to 900,Apr-26
FLO RESIDENCE,PUNGGOL FIELD WALK,19,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,1,"6,400",60 to 70,700 to 800,Apr-26
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"4,100",110 to 120,"1,100 to 1,200",Apr-26
SOUTHBANK,NORTH BRIDGE ROAD,07,Non-Landed Properties,1,"3,758",50 to 60,500 to 600,Apr-26
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"3,000",50 to 60,500 to 600,Apr-26
HELIOS RESIDENCES,CAIRNHILL CIRCLE,09,Non-Landed Properties,3,"9,200",150 to 160,"1,600 to 1,700",Apr-26
LA MEYER,MEYER ROAD,15,Non-Landed Properties,NA,"5,500",170 to 180,"1,800 to 1,900",Apr-26
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Apr-26
GALLOP GABLES,FARRER ROAD,10,Non-Landed Properties,2,"5,000",110 to 120,"1,100 to 1,200",Apr-26
ONE DEVONSHIRE,DEVONSHIRE ROAD,09,Non-Landed Properties,4,"10,500",130 to 140,"1,400 to 1,500",Apr-26
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,3,"5,200",100 to 110,"1,100 to 1,200",Apr-26
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,3,"8,500",120 to 130,"1,300 to 1,400",Apr-26
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,700",40 to 50,500 to 600,Apr-26
CHEN FANG MANSIONS,LORONG 33 GEYLANG,14,Non-Landed Properties,3,"3,900",80 to 90,"900 to 1,000",Apr-26
RITZ @ FARRER,RACE COURSE ROAD,08,Non-Landed Properties,3,"4,500",80 to 90,800 to 900,Apr-26
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Apr-26
THE PETALS,HILLVIEW AVENUE,23,Non-Landed Properties,4,"4,900",170 to 180,"1,900 to 2,000",Apr-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,350",70 to 80,700 to 800,Apr-26
THE TROPICA,TAMPINES AVENUE 1,18,Non-Landed Properties,2,"3,600",90 to 100,"900 to 1,000",Apr-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,3,"5,800",110 to 120,"1,200 to 1,300",Apr-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,NA,"3,800",40 to 50,500 to 600,Apr-26
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,1,"7,100",60 to 70,700 to 800,Apr-26
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Apr-26
LA FIESTA,SENGKANG SQUARE,19,Non-Landed Properties,2,"3,450",60 to 70,700 to 800,Apr-26
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,4,"7,000",140 to 150,"1,500 to 1,600",Apr-26
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,1,"4,300",70 to 80,800 to 900,Apr-26
THE ARTE,JALAN RAJA UDANG,12,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Apr-26
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"4,600",100 to 110,"1,000 to 1,100",Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,4,"4,500",130 to 140,"1,400 to 1,500",Apr-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,1,"5,100",60 to 70,700 to 800,Apr-26
THE WHARF RESIDENCE,TONG WATT ROAD,09,Non-Landed Properties,2,"6,750",90 to 100,"1,000 to 1,100",Apr-26
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,800",150 to 160,"1,600 to 1,700",Apr-26
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Apr-26
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"5,600",60 to 70,600 to 700,Apr-26
THE ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,4,"13,000",340 to 350,"3,700 to 3,800",Apr-26
SUITES @ CAIRNHILL,CAIRNHILL ROAD,09,Non-Landed Properties,3,"8,200",140 to 150,"1,500 to 1,600",Apr-26
KOVAN JEWEL,KOVAN ROAD,19,Non-Landed Properties,1,"3,700",50 to 60,600 to 700,Apr-26
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"6,900",100 to 110,"1,100 to 1,200",Apr-26
SILVERSCAPE,LORONG 32 GEYLANG,14,Non-Landed Properties,2,"3,700",50 to 60,500 to 600,Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Apr-26
THOMSON THREE,BRIGHT HILL DRIVE,20,Non-Landed Properties,3,"4,800",90 to 100,"1,000 to 1,100",Apr-26
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Apr-26
THE INFLORA,FLORA DRIVE,17,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Apr-26
THE CALYPSO,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
THE LINQ @ BEAUTY WORLD,UPPER BUKIT TIMAH ROAD,21,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Apr-26
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Apr-26
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Apr-26
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,2,"5,800",80 to 90,800 to 900,Apr-26
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"5,000",40 to 50,500 to 600,Apr-26
THE MINTON,HOUGANG STREET 11,19,Non-Landed Properties,NA,"2,700",50 to 60,600 to 700,Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,550",90 to 100,"1,000 to 1,100",Apr-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,2,"3,600",90 to 100,"900 to 1,000",Apr-26
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,200",40 to 50,400 to 500,Apr-26
ROBIN SUITES,ROBIN ROAD,10,Non-Landed Properties,1,"3,700",70 to 80,800 to 900,Apr-26
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,2,"6,103",90 to 100,"900 to 1,000",Apr-26
CASA FORTUNA,AH HOOD ROAD,12,Non-Landed Properties,2,"4,100",90 to 100,"1,000 to 1,100",Apr-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,100",50 to 60,600 to 700,Apr-26
GARDENVILLE,WALSHE ROAD,10,Non-Landed Properties,3,"8,400",250 to 260,"2,700 to 2,800",Apr-26
TRE RESIDENCES,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Apr-26
LOYANG VALLEY,LOYANG AVENUE,17,Non-Landed Properties,2,"3,200",90 to 100,"1,000 to 1,100",Apr-26
SPAZIO @ KOVAN,UPPER SERANGOON ROAD,19,Non-Landed Properties,3,"3,500",60 to 70,600 to 700,Apr-26
CARDIFF RESIDENCE,CARDIFF GROVE,19,Non-Landed Properties,2,"2,800",50 to 60,500 to 600,Apr-26
