Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
HUME PARK II,HUME AVENUE,21,Non-Landed Properties,3,"3,850",100 to 110,"1,100 to 1,200",Dec-24
NOMU,HANDY ROAD,09,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Dec-24
LA SUISSE,SWISS VIEW,11,Non-Landed Properties,3,"6,300",190 to 200,"2,100 to 2,200",Dec-24
WING FONG MANSIONS/WING FONG COURT,LORONG 14 GEYLANG,14,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Dec-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,550",40 to 50,400 to 500,Dec-24
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,4,"6,300",150 to 160,"1,600 to 1,700",Dec-24
DOUBLE BAY RESIDENCES,SIMEI STREET 4,18,Non-Landed Properties,NA,"2,800",50 to 60,600 to 700,Dec-24
HARBOURLIGHTS,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Dec-24
THE TRILLIUM,KIM SENG ROAD,09,Non-Landed Properties,3,"9,000",160 to 170,"1,700 to 1,800",Dec-24
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,3,"5,800",120 to 130,"1,300 to 1,400",Dec-24
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,650",80 to 90,800 to 900,Dec-24
THE LENOX,CHANGI ROAD,14,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Dec-24
HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Dec-24
KENSINGTON SQUARE,JALAN LOKAM,19,Non-Landed Properties,2,"3,300",50 to 60,600 to 700,Dec-24
ASPEN HEIGHTS,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Dec-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"2,900",60 to 70,600 to 700,Dec-24
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Dec-24
JADE RESIDENCES,LEW LIAN VALE,19,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Dec-24
THE MORNINGSIDE,JALAN KUALA,09,Non-Landed Properties,3,"7,500",140 to 150,"1,600 to 1,700",Dec-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,800",50 to 60,500 to 600,Dec-24
BUKIT 828,UPPER BUKIT TIMAH ROAD,23,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Dec-24
THE TEMBUSU,TAMPINES ROAD,19,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Dec-24
VIDA,PECK HAY ROAD,09,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Dec-24
CHARLESTON,SHANGHAI ROAD,10,Non-Landed Properties,3,"5,000",110 to 120,"1,100 to 1,200",Dec-24
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Dec-24
FULCRUM,FORT ROAD,15,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Dec-24
EASTVILLE APARTMENTS,JOO CHIAT LANE,15,Non-Landed Properties,NA,"4,500",80 to 90,"900 to 1,000",Dec-24
BOULEVARD 88,ORCHARD BOULEVARD,10,Non-Landed Properties,4,"24,000",250 to 260,"2,700 to 2,800",Dec-24
THE SPRINGBLOOM,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Dec-24
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Dec-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"6,500",120 to 130,"1,200 to 1,300",Dec-24
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Dec-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
THE FERNHILL,FERNHILL ROAD,10,Non-Landed Properties,3,"7,000",140 to 150,"1,500 to 1,600",Dec-24
SEASONS VIEW,PEMIMPIN DRIVE,20,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Dec-24
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Dec-24
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,2,"3,600",100 to 110,"1,100 to 1,200",Dec-24
LA CRYSTAL,KILLINEY ROAD,09,Non-Landed Properties,3,"5,200",90 to 100,"1,000 to 1,100",Dec-24
MAYFAIR MODERN,RIFLE RANGE ROAD,21,Non-Landed Properties,3,"5,500",90 to 100,"1,000 to 1,100",Dec-24
URBAN RESIDENCES,LORONG AH SOO,19,Non-Landed Properties,1,"2,550",40 to 50,500 to 600,Dec-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Dec-24
NON-LANDED HOUSING DEVELOPMENT,JOO CHIAT ROAD,15,Non-Landed Properties,NA,"4,450",80 to 90,"900 to 1,000",Dec-24
NON-LANDED HOUSING DEVELOPMENT,NEWTON ROAD,11,Non-Landed Properties,3,"7,200",160 to 170,"1,700 to 1,800",Dec-24
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Dec-24
THE GLADES,BEDOK RISE,16,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Dec-24
RIVER ISLES,EDGEDALE PLAINS,19,Non-Landed Properties,3,"3,600",80 to 90,800 to 900,Dec-24
SKY HABITAT,BISHAN STREET 15,20,Non-Landed Properties,1,"3,700",60 to 70,700 to 800,Dec-24
ALLSWORTH PARK,HOLLAND ROAD,10,Non-Landed Properties,3,"6,500",180 to 190,"1,900 to 2,000",Dec-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"7,800",160 to 170,"1,700 to 1,800",Dec-24
ASPEN HEIGHTS,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"4,400",80 to 90,800 to 900,Dec-24
THE TRIZON,RIDGEWOOD CLOSE,10,Non-Landed Properties,4,"10,700",210 to 220,"2,300 to 2,400",Dec-24
AURALIS,EAST COAST ROAD,15,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Dec-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Dec-24
THE ALPS RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Dec-24
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,2,"4,550",80 to 90,800 to 900,Dec-24
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,450",50 to 60,600 to 700,Dec-24
THE SIENA,TAN KIM CHENG ROAD,10,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Dec-24
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"3,700",100 to 110,"1,000 to 1,100",Dec-24
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,100",70 to 80,700 to 800,Dec-24
THE TRUMPS,JALAN KEMBANGAN,14,Non-Landed Properties,1,"3,350",60 to 70,600 to 700,Dec-24
AURALIS,EAST COAST ROAD,15,Non-Landed Properties,3,"5,900",150 to 160,"1,600 to 1,700",Dec-24
SUTTON PLACE,FARRER ROAD,10,Non-Landed Properties,3,"7,800",260 to 270,"2,700 to 2,800",Dec-24
SERENITY BREEZE,LORONG J TELOK KURAU,15,Non-Landed Properties,2,"2,750",60 to 70,600 to 700,Dec-24
LEEDON RESIDENCE,LEEDON HEIGHTS,10,Non-Landed Properties,3,"12,000",190 to 200,"2,100 to 2,200",Dec-24
ONE MEYER,MEYER PLACE,15,Non-Landed Properties,3,"5,600",80 to 90,"900 to 1,000",Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"3,800",60 to 70,700 to 800,Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Dec-24
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Dec-24
SKY HABITAT,BISHAN STREET 15,20,Non-Landed Properties,3,"6,200",110 to 120,"1,200 to 1,300",Dec-24
WILKIE STUDIO,WILKIE ROAD,09,Non-Landed Properties,3,"6,000",110 to 120,"1,100 to 1,200",Dec-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"7,800",120 to 130,"1,300 to 1,400",Dec-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Dec-24
THE AXIS,MANDALAY ROAD,11,Non-Landed Properties,1,"2,850",30 to 40,300 to 400,Dec-24
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,2,"4,900",80 to 90,"900 to 1,000",Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Dec-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Dec-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,628",70 to 80,700 to 800,Dec-24
WILKIE STUDIO,WILKIE ROAD,09,Non-Landed Properties,3,"7,300",170 to 180,"1,900 to 2,000",Dec-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Dec-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,650",40 to 50,400 to 500,Dec-24
FORTE SUITES,MERGUI ROAD,08,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Dec-24
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,2,"8,600",90 to 100,"1,000 to 1,100",Dec-24
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,850",80 to 90,"900 to 1,000",Dec-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,900",110 to 120,"1,200 to 1,300",Dec-24
THE MONTANA,JALAN MUTIARA,10,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Dec-24
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,23,Non-Landed Properties,1,"3,300",90 to 100,"900 to 1,000",Dec-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"4,200",80 to 90,"900 to 1,000",Dec-24
GLENTREES,MOUNT SINAI LANE,10,Non-Landed Properties,3,"6,400",130 to 140,"1,400 to 1,500",Dec-24
PARC HAVEN,LORONG LIMAU,12,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Dec-24
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,Non-Landed Properties,3,"7,100",110 to 120,"1,200 to 1,300",Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Dec-24
JEWEL @ BUANGKOK,COMPASSVALE BOW,19,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,Dec-24
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,388",70 to 80,700 to 800,Dec-24
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Dec-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,500",80 to 90,"900 to 1,000",Dec-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,300",90 to 100,"1,000 to 1,100",Dec-24
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
LAKESIDE TOWER,YUAN CHING ROAD,22,Non-Landed Properties,NA,"4,700",160 to 170,"1,700 to 1,800",Dec-24
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"4,100",100 to 110,"1,000 to 1,100",Dec-24
VETRO,MAR THOMA ROAD,12,Non-Landed Properties,2,"3,300",50 to 60,600 to 700,Dec-24
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Dec-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Dec-24
MAPLE LEAF ELITE 1,RANGOON ROAD,08,Non-Landed Properties,2,"4,800",80 to 90,"900 to 1,000",Dec-24
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,2,"3,450",100 to 110,"1,000 to 1,100",Dec-24
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Dec-24
LA FIESTA,SENGKANG SQUARE,19,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Dec-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,4,"7,400",150 to 160,"1,700 to 1,800",Dec-24
JARDIN,DUNEARN ROAD,21,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Dec-24
SEA AVENUE MANSIONS,SEA AVENUE,15,Non-Landed Properties,NA,"3,800",90 to 100,"900 to 1,000",Dec-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Dec-24
THOMSON 800,THOMSON ROAD,11,Non-Landed Properties,3,"5,200",150 to 160,"1,600 to 1,700",Dec-24
NON-LANDED HOUSING DEVELOPMENT,GEYLANG ROAD,14,Non-Landed Properties,NA,"4,500",100 to 110,"1,100 to 1,200",Dec-24
BRADDELL VIEW,BRADDELL HILL,20,Non-Landed Properties,NA,"4,500",140 to 150,"1,500 to 1,600",Dec-24
NON-LANDED HOUSING DEVELOPMENT,RIVER VALLEY ROAD,10,Non-Landed Properties,NA,"5,192",120 to 130,"1,300 to 1,400",Dec-24
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"6,500",100 to 110,"1,000 to 1,100",Dec-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,4,"8,800",160 to 170,"1,700 to 1,800",Dec-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,350",40 to 50,400 to 500,Dec-24
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,4,"8,500",150 to 160,"1,600 to 1,700",Dec-24
CHANCERY CORNER,CHANCERY LANE,11,Non-Landed Properties,NA,"6,000",130 to 140,"1,400 to 1,500",Dec-24
THE MILTONIA RESIDENCES,MILTONIA CLOSE,27,Non-Landed Properties,2,"3,530",80 to 90,800 to 900,Dec-24
THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,04,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Dec-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,2,"2,800",40 to 50,500 to 600,Dec-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Dec-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Dec-24
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,3,"4,000",120 to 130,"1,300 to 1,400",Dec-24
ELIZABETH HEIGHTS,CAIRNHILL ROAD,09,Non-Landed Properties,4,"8,250",230 to 240,"2,400 to 2,500",Dec-24
KAP RESIDENCES,KING ALBERT PARK,21,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Dec-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Dec-24
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Dec-24
FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,20,Non-Landed Properties,2,"3,150",100 to 110,"1,100 to 1,200",Dec-24
CASCADALE,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,3,"4,500",140 to 150,"1,500 to 1,600",Dec-24
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"11,000",160 to 170,"1,700 to 1,800",Dec-24
SPACE @ KOVAN,YIO CHU KANG ROAD,19,Non-Landed Properties,2,"3,400",70 to 80,700 to 800,Dec-24
HIGH POINT,MOUNT ELIZABETH,09,Non-Landed Properties,4,"7,900",270 to 280,"2,900 to 3,000",Dec-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Dec-24
CITY PLAZA,GEYLANG ROAD,14,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Dec-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Dec-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Dec-24
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,3,"6,100",110 to 120,"1,200 to 1,300",Dec-24
THE AVENIR,RIVER VALLEY CLOSE,09,Non-Landed Properties,NA,"4,450",50 to 60,500 to 600,Dec-24
SKY HABITAT,BISHAN STREET 15,20,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Dec-24
SPACE @ KOVAN,YIO CHU KANG ROAD,19,Non-Landed Properties,2,"2,900",50 to 60,600 to 700,Dec-24
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Dec-24
DOMUS,IRRAWADDY ROAD,12,Non-Landed Properties,2,"3,900",80 to 90,"900 to 1,000",Dec-24
BOTANIC GARDENS VIEW,TAMAN SERASI,10,Non-Landed Properties,3,"5,100",110 to 120,"1,200 to 1,300",Dec-24
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"5,000",150 to 160,"1,600 to 1,700",Dec-24
ROYALGREEN,ANAMALAI AVENUE,10,Non-Landed Properties,2,"5,250",50 to 60,600 to 700,Dec-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,500",140 to 150,"1,500 to 1,600",Dec-24
ZENITH,ZION ROAD,10,Non-Landed Properties,1,"3,550",50 to 60,500 to 600,Dec-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"4,850",110 to 120,"1,200 to 1,300",Dec-24
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,4,"5,850",120 to 130,"1,300 to 1,400",Dec-24
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Dec-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Dec-24
SHELFORD REGENCY,SHELFORD ROAD,11,Non-Landed Properties,3,"5,500",100 to 110,"1,000 to 1,100",Dec-24
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,900",150 to 160,"1,600 to 1,700",Dec-24
CASA MEYA,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"3,900",70 to 80,800 to 900,Dec-24
VISIONCREST,OXLEY RISE,09,Non-Landed Properties,2,"5,700",90 to 100,"900 to 1,000",Dec-24
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Dec-24
THE MERASAGA,JALAN MERAH SAGA,10,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Dec-24
FULCRUM,FORT ROAD,15,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Dec-24
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,3,"6,450",80 to 90,800 to 900,Dec-24
MON JERVOIS,JERVOIS ROAD,10,Non-Landed Properties,2,"7,000",140 to 150,"1,500 to 1,600",Dec-24
RESIDENCES @ EVELYN,EVELYN ROAD,11,Non-Landed Properties,2,"5,400",100 to 110,"1,100 to 1,200",Dec-24
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,4,"5,700",120 to 130,"1,300 to 1,400",Dec-24
RIVERSAILS,UPPER SERANGOON CRESCENT,19,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Dec-24
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,2,"4,250",70 to 80,800 to 900,Dec-24
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Dec-24
PUBLIC MANSION,BALESTIER ROAD,12,Non-Landed Properties,3,"2,800",160 to 170,"1,700 to 1,800",Dec-24
RIVERSAILS,UPPER SERANGOON CRESCENT,19,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Dec-24
KOVAN REGENCY,KOVAN RISE,19,Non-Landed Properties,3,"5,000",90 to 100,"900 to 1,000",Dec-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Dec-24
GLASGOW RESIDENCE,GLASGOW ROAD,19,Non-Landed Properties,2,"2,800",60 to 70,600 to 700,Dec-24
OPTIMA @ TANAH MERAH,TANAH MERAH KECHIL AVENUE,16,Non-Landed Properties,4,"6,100",130 to 140,"1,400 to 1,500",Dec-24
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Dec-24
THE MEZZO,BALESTIER ROAD,12,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Dec-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"4,900",90 to 100,"1,000 to 1,100",Dec-24
JOOL SUITES,SING JOO WALK,08,Non-Landed Properties,1,"2,850",30 to 40,400 to 500,Dec-24
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Dec-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,700",90 to 100,"1,000 to 1,100",Dec-24
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,850",40 to 50,400 to 500,Dec-24
GOLD PALM MANSIONS,LORONG K TELOK KURAU,15,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Dec-24
CENTRA RESIDENCE,LORONG 7 GEYLANG,14,Non-Landed Properties,2,"3,750",90 to 100,"1,000 to 1,100",Dec-24
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Dec-24
GRACIOUS MANSIONS,JALAN RENDANG,15,Non-Landed Properties,4,"4,076",120 to 130,"1,300 to 1,400",Dec-24
TANGLIN PARK,RIDLEY PARK,10,Non-Landed Properties,3,"6,700",120 to 130,"1,300 to 1,400",Dec-24
THE LAURELS,CAIRNHILL ROAD,09,Non-Landed Properties,2,"7,800",90 to 100,"1,000 to 1,100",Dec-24
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,3,"6,200",100 to 110,"1,100 to 1,200",Dec-24
PATERSON LINC,PATERSON ROAD,09,Non-Landed Properties,2,"5,400",80 to 90,800 to 900,Dec-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Dec-24
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Dec-24
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,600",40 to 50,400 to 500,Dec-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Dec-24
NAUNG RESIDENCE,JALAN NAUNG,19,Non-Landed Properties,2,"3,100",60 to 70,700 to 800,Dec-24
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Dec-24
HERITAGE EAST,EAST COAST ROAD,15,Non-Landed Properties,1,"2,950",50 to 60,500 to 600,Dec-24
368 THOMSON,THOMSON ROAD,11,Non-Landed Properties,1,"3,400",60 to 70,600 to 700,Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Dec-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,700",30 to 40,300 to 400,Dec-24
SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,12,Non-Landed Properties,3,"5,000",130 to 140,"1,400 to 1,500",Dec-24
G RESIDENCES,LORONG G TELOK KURAU,15,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Dec-24
THE OXLEY,OXLEY RISE,09,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Dec-24
ESPIRA SPRING,LORONG G TELOK KURAU,15,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Dec-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,350",40 to 50,500 to 600,Dec-24
BIRMINGHAM MANSIONS,THOMSON ROAD,11,Non-Landed Properties,3,"4,850",90 to 100,"1,000 to 1,100",Dec-24
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,300",50 to 60,500 to 600,Dec-24
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,2,"4,000",110 to 120,"1,200 to 1,300",Dec-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,2,"3,150",80 to 90,800 to 900,Dec-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Dec-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Dec-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,5,"16,000",370 to 380,"3,900 to 4,000",Dec-24
10 EVELYN,EVELYN ROAD,11,Non-Landed Properties,1,"3,650",40 to 50,400 to 500,Dec-24
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Dec-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Dec-24
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-Landed Properties,3,"4,100",100 to 110,"1,100 to 1,200",Dec-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"8,150",170 to 180,"1,800 to 1,900",Dec-24
CUSCADEN RESERVE,CUSCADEN ROAD,10,Non-Landed Properties,2,"7,400",80 to 90,"900 to 1,000",Dec-24
