Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
LANDED HOUSING DEVELOPMENT,CORONATION ROAD,10,Semi-Detached House,NA,"12,200",350 to 400,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG 30 GEYLANG,14,Terrace House,NA,"3,100",50 to 100,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,EAST SUSSEX LANE,10,Detached House,NA,"37,000",750 to 800,"8,500 to 9,000",Dec-24
MIMOSA TERRACE,SARACA ROAD,28,Terrace House,NA,"5,500",200 to 250,"2,000 to 2,500",Dec-24
BUKIT VILLAS,RASOK DRIVE,25,Semi-Detached House,NA,"7,000",200 to 250,"2,000 to 2,500",Dec-24
THOMSON GARDEN ESTATE,JALAN CHEMPAH,20,Terrace House,NA,"4,500",50 to 100,"500 to 1,000",Dec-24
LAKESIDE GROVE,CORPORATION RISE,22,Terrace House,NA,"7,500",200 to 250,"2,000 to 2,500",Dec-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"6,000",150 to 200,"1,500 to 2,000",Dec-24
THOMSON RIDGE ESTATE,THOMSON RIDGE,20,Semi-Detached House,NA,"11,000",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,SOMMERVILLE ROAD,13,Semi-Detached House,NA,"9,500",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG H TELOK KURAU,15,Terrace House,NA,"6,000",100 to 150,"1,000 to 1,500",Dec-24
LUXUS HILLS,LUXUS HILL AVENUE,28,Terrace House,NA,"7,100",150 to 200,"2,000 to 2,500",Dec-24
LLYN GARDENS,PAYA LEBAR WALK,19,Terrace House,NA,"4,600",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,MARSHALL ROAD,15,Terrace House,NA,"8,500",150 to 200,"1,500 to 2,000",Dec-24
KIM LIN PARK,JALAN ARNAP,10,Semi-Detached House,NA,"10,000",200 to 250,"2,000 to 2,500",Dec-24
WATERCOVE,WAK HASSAN DRIVE,27,Terrace House,NA,"7,800",300 to 350,"3,000 to 3,500",Dec-24
OEI TIONG HAM PARK,JALAN SAMPURNA,10,Detached House,NA,"21,000",500 to 550,"5,000 to 5,500",Dec-24
SELETAR HILLS ESTATE,JALAN KETUMBIT,28,Terrace House,NA,"7,612",250 to 300,"2,500 to 3,000",Dec-24
SENNETT ESTATE,PHENG GECK AVENUE,13,Semi-Detached House,NA,"12,000",200 to 250,"2,500 to 3,000",Dec-24
THE MONDRIAN,HINDHEDE PLACE,21,Semi-Detached House,NA,"9,500",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,FERNHILL ROAD,10,Terrace House,NA,"9,100",150 to 200,"2,000 to 2,500",Dec-24
LENTOR VILLAS,LENTOR STREET,26,Semi-Detached House,NA,"7,500",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,PONGGOL SEVENTEENTH AVENUE,19,Detached House,NA,"7,500",250 to 300,"2,500 to 3,000",Dec-24
LUCKY VILLAS,LUCKY HEIGHTS,16,Semi-Detached House,NA,"6,900",250 to 300,"2,500 to 3,000",Dec-24
HOCK SENG PARK,JALAN JAMBU AYER,21,Semi-Detached House,NA,"9,800",150 to 200,"1,500 to 2,000",Dec-24
THE WINDSOR,ONTARIO AVENUE,20,Terrace House,NA,"6,200",150 to 200,"1,500 to 2,000",Dec-24
SURIN GARDENS,KAMPONG SIREH,19,Terrace House,NA,"5,800",250 to 300,"3,000 to 3,500",Dec-24
BINJAI CREST,JALAN KAMPONG CHANTEK,21,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Dec-24
HELICONA LODGE,JALAN HAJI SALAM,16,Terrace House,NA,"6,873",150 to 200,"1,500 to 2,000",Dec-24
DUNMAN GARDEN,SWANAGE ROAD,15,Terrace House,NA,"7,800",150 to 200,"1,500 to 2,000",Dec-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,600",200 to 250,"2,000 to 2,500",Dec-24
HIGHGATE,HIGHGATE CRESCENT,21,Semi-Detached House,NA,"8,500",250 to 300,"3,000 to 3,500",Dec-24
HORIZON GARDENS,ANG MO KIO AVENUE 2,20,Terrace House,NA,"8,300",250 to 300,"2,500 to 3,000",Dec-24
FLORIDA PARK,SUNRISE WAY,28,Terrace House,NA,"4,900",150 to 200,"1,500 to 2,000",Dec-24
MACPHERSON GARDEN ESTATE,JALAN MULIA,13,Terrace House,NA,"3,500",50 to 100,"500 to 1,000",Dec-24
LUCKY PARK,LASIA AVENUE,10,Terrace House,NA,"6,800",200 to 250,"2,000 to 2,500",Dec-24
CASA PERLA,WATTEN ESTATE ROAD,11,Detached House,NA,"14,092",350 to 400,"3,500 to 4,000",Dec-24
TEACHER'S HOUSING ESTATE,LI PO AVENUE,26,Terrace House,NA,"5,000",100 to 150,"1,000 to 1,500",Dec-24
SENNETT ESTATE,PANG SENG ROAD,13,Terrace House,NA,"4,200",100 to 150,"1,000 to 1,500",Dec-24
TEACHER'S HOUSING ESTATE,MUNSHI ABDULLAH AVENUE,26,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,ARTHUR ROAD,15,Detached House,NA,"11,800",450 to 500,"4,500 to 5,000",Dec-24
PETAIN RD/TYRWHITT RD CONSERVATION AREA,PETAIN ROAD/STURDEE ROAD,08,Terrace House,NA,"7,500",350 to 400,"3,500 to 4,000",Dec-24
ALANA,SUNRISE TERRACE,28,Terrace House,NA,"7,600",250 to 300,"2,500 to 3,000",Dec-24
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Terrace House,NA,"5,500",150 to 200,"1,500 to 2,000",Dec-24
D'MANOR,TANAH MERAH KECHIL AVENUE,16,Terrace House,NA,"6,400",250 to 300,"2,500 to 3,000",Dec-24
LIAN VILLAS,EAST COAST AVENUE,15,Detached House,NA,"16,003",500 to 550,"5,500 to 6,000",Dec-24
LOUIS GARDEN,BALMORAL PARK,10,Terrace House,NA,"11,000",250 to 300,"2,500 to 3,000",Dec-24
HENRY PARK,GROVE DRIVE,10,Semi-Detached House,NA,"14,800",250 to 300,"3,000 to 3,500",Dec-24
DALLA VALE,SPRINGLEAF AVENUE,26,Semi-Detached House,NA,"6,800",250 to 300,"3,000 to 3,500",Dec-24
ELEVEN @ HOLLAND,HOLLAND LINK,10,Semi-Detached House,NA,"9,600",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,WOOLLERTON DRIVE,10,Detached House,NA,"34,000",900 to 950,"9,500 to 10,000",Dec-24
LANDED HOUSING DEVELOPMENT,BRIZAY PARK,10,Detached House,NA,"18,000",500 to 550,"5,500 to 6,000",Dec-24
LANDED HOUSING DEVELOPMENT,PETAIN ROAD/STURDEE ROAD,08,Terrace House,NA,"11,000",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG HOW SUN,19,Terrace House,NA,"4,600",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,HOLLAND PARK,10,Detached House,NA,"25,000",550 to 600,"6,000 to 6,500",Dec-24
LANDED HOUSING DEVELOPMENT,HOLLAND PARK,10,Detached House,NA,"25,000",550 to 600,"5,500 to 6,000",Dec-24
LANDED HOUSING DEVELOPMENT,FLOWER ROAD,19,Terrace House,NA,"5,000",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,TOH AVENUE,17,Semi-Detached House,NA,"13,000",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,JUBILEE ROAD,05,Terrace House,NA,"4,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN SALANG,27,Terrace House,NA,"5,500",100 to 150,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN LAPANG,14,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,RIDOUT ROAD,10,Detached House,NA,"10,500",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,MIMOSA CRESCENT,28,Semi-Detached House,NA,"7,500",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,15,Detached House,NA,"19,500",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN GUMILANG,23,Terrace House,NA,"4,800",100 to 150,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,JERVOIS ROAD,10,Detached House,NA,"36,888",750 to 800,"8,500 to 9,000",Dec-24
LANDED HOUSING DEVELOPMENT,SELETAR CRESCENT,28,Semi-Detached House,NA,"7,300",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,REDWOOD AVENUE,10,Semi-Detached House,NA,"9,300",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,BELMONT ROAD/MORLEY ROAD,10,Detached House,NA,"14,000",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG PENCHALAK,19,Semi-Detached House,NA,"8,100",300 to 350,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,COUNTRYSIDE ROAD,26,Semi-Detached House,NA,"7,500",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN LYE KWEE,19,Semi-Detached House,NA,"8,800",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,15,Terrace House,NA,"5,500",100 to 150,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,PLANTATION AVENUE,19,Terrace House,NA,"5,200",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,UNIVERSITY ROAD,11,Semi-Detached House,NA,"12,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,15,Semi-Detached House,NA,"8,000",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,EAN KIAM PLACE,15,Terrace House,NA,"3,230",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,ONAN ROAD,15,Terrace House,NA,"6,200",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,LENGKONG TIGA,14,Semi-Detached House,NA,"7,800",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,SEMBAWANG ROAD,27,Semi-Detached House,NA,"3,000",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,LENGKONG DUA,14,Semi-Detached House,NA,"7,500",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN TARI PIRING,28,Terrace House,NA,"3,000",100 to 150,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,BISHOPSGATE,10,Detached House,NA,"28,000",850 to 900,"9,500 to 10,000",Dec-24
LANDED HOUSING DEVELOPMENT,PRINCESS OF WALES ROAD,10,Semi-Detached House,NA,"6,000",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,PARRY ROAD,19,Terrace House,NA,"8,000",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,MOUNT ROSIE ROAD,11,Detached House,NA,"29,009",400 to 450,"4,500 to 5,000",Dec-24
LANDED HOUSING DEVELOPMENT,CHUAN VIEW,19,Terrace House,NA,"14,500",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,MOUNT ROSIE ROAD,11,Detached House,NA,"23,207",400 to 450,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN AMPANG,10,Semi-Detached House,NA,"11,800",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,BEDOK AVENUE,16,Detached House,NA,"3,000",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG 105 CHANGI,15,Terrace House,NA,"10,500",450 to 500,"4,500 to 5,000",Dec-24
LANDED HOUSING DEVELOPMENT,PHENG GECK AVENUE,13,Semi-Detached House,NA,"12,000",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,ROBIN CLOSE,10,Detached House,NA,"14,500",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,GAMBIR WALK,19,Semi-Detached House,NA,"11,500",450 to 500,"5,000 to 5,500",Dec-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Semi-Detached House,NA,"11,500",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,EAN KIAM PLACE,15,Terrace House,NA,"3,300",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,EAN KIAM PLACE,15,Terrace House,NA,"3,630",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,NAMLY VIEW,10,Detached House,NA,"22,000",250 to 300,"3,000 to 3,500",Dec-24
SELETAR HILLS ESTATE,JALAN KELULUT,28,Semi-Detached House,NA,"6,500",150 to 200,"1,500 to 2,000",Dec-24
SENNETT ESTATE,LORONG KEMBANG/TANNERY LANE,13,Terrace House,NA,"14,800",50 to 100,"500 to 1,000",Dec-24
MELODY VILLAS,LENTOR WALK,26,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Dec-24
HANSON COURT,KIM KEAT ROAD,12,Terrace House,NA,"20,000",100 to 150,"1,000 to 1,500",Dec-24
KISMIS RESIDENCES,LORONG KISMIS,21,Terrace House,NA,"7,800",350 to 400,"3,500 to 4,000",Dec-24
WINDSOR PARK ESTATE,LEO DRIVE,20,Terrace House,NA,"5,800",100 to 150,"1,000 to 1,500",Dec-24
CHARLTON 18,CHARLTON LANE,19,Terrace House,NA,"8,500",250 to 300,"3,000 to 3,500",Dec-24
TOH TUCK GARDEN,TOH TUCK PLACE,21,Terrace House,NA,"4,000",150 to 200,"1,500 to 2,000",Dec-24
HILLCREST PARK,GREENMEAD AVENUE,11,Semi-Detached House,NA,"8,000",200 to 250,"2,000 to 2,500",Dec-24
MING TECK PARK,MING TECK PARK,10,Semi-Detached House,NA,"11,000",200 to 250,"2,000 to 2,500",Dec-24
FUYONG ESTATE,JALAN ASAS,23,Terrace House,NA,"4,500",50 to 100,"500 to 1,000",Dec-24
WEST COAST GARDENS,WEST COAST LANE,05,Terrace House,NA,"4,680",150 to 200,"2,000 to 2,500",Dec-24
SELETAR HILLS ESTATE,JALAN JITONG,28,Semi-Detached House,NA,"12,000",400 to 450,"4,500 to 5,000",Dec-24
PEAKVIEW ESTATE,JALAN PARI KIKIS,16,Terrace House,NA,"3,000",100 to 150,"1,000 to 1,500",Dec-24
CALDECOTT HILL ESTATE,ANDREW ROAD,11,Detached House,NA,"17,000",450 to 500,"5,000 to 5,500",Dec-24
THE INGLEWOOD,LORONG PUNTONG/THE INGLEWOOD,20,Terrace House,NA,"8,000",200 to 250,"2,500 to 3,000",Dec-24
WATERCOVE,WAK HASSAN DRIVE,27,Terrace House,NA,"7,900",300 to 350,"3,000 to 3,500",Dec-24
LUCKY HILL,BEDOK TERRACE,16,Terrace House,NA,"3,500",150 to 200,"1,500 to 2,000",Dec-24
PARRYVILLE,POH HUAT DRIVE,19,Terrace House,NA,"5,200",150 to 200,"2,000 to 2,500",Dec-24
BAN GUAN PARK,GREENLEAF VIEW,10,Semi-Detached House,NA,"18,000",250 to 300,"3,000 to 3,500",Dec-24
SERANGOON GARDEN ESTATE,CHISELHURST GROVE,19,Terrace House,NA,"3,400",100 to 150,"1,000 to 1,500",Dec-24
HILLCREST PARK,GREENWOOD AVENUE,11,Semi-Detached House,NA,"8,800",150 to 200,"1,500 to 2,000",Dec-24
WATTEN ESTATE,WATTEN DRIVE,11,Terrace House,NA,"12,000",200 to 250,"2,500 to 3,000",Dec-24
THE COMPASS AT CHANCERY,CHANCERY HILL ROAD,11,Terrace House,NA,"7,561",200 to 250,"2,000 to 2,500",Dec-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"6,400",150 to 200,"1,500 to 2,000",Dec-24
WESTLAKE GARDENS,WESTLAKE AVENUE,20,Semi-Detached House,NA,"6,000",200 to 250,"2,000 to 2,500",Dec-24
CORAL ISLAND,CORAL ISLAND,04,Detached House,NA,"29,000",500 to 550,"5,500 to 6,000",Dec-24
TREVOSE PLACE,TREVOSE PLACE,11,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Dec-24
SHAMROCK PARK,NAMLY GARDEN,10,Semi-Detached House,NA,"9,500",150 to 200,"1,500 to 2,000",Dec-24
FRANKEL ESTATE,SIGLAP WALK,15,Semi-Detached House,NA,"8,000",150 to 200,"1,500 to 2,000",Dec-24
HILLCREST PARK,HILLCREST ROAD,11,Semi-Detached House,NA,"9,400",150 to 200,"2,000 to 2,500",Dec-24
CLEMENTI PARK,SUNSET SQUARE,21,Detached House,NA,"13,350",250 to 300,"3,000 to 3,500",Dec-24
PRESIDENT GARDENS,LENTOR GREEN,26,Terrace House,NA,"6,000",150 to 200,"2,000 to 2,500",Dec-24
SUMMIT VILLE,JALAN DERMAWAN,23,Semi-Detached House,NA,"6,300",150 to 200,"1,500 to 2,000",Dec-24
MANDARIN PARK,LORONG PISANG UDANG,21,Semi-Detached House,NA,"6,000",200 to 250,"2,000 to 2,500",Dec-24
THOMSON GARDEN ESTATE,JALAN KHAMIS,20,Terrace House,NA,"4,000",100 to 150,"1,000 to 1,500",Dec-24
CHANGI GROVE,JALAN MARIAM,17,Detached House,NA,"6,800",200 to 250,"2,000 to 2,500",Dec-24
MELODY VILLAS,LENTOR WALK,26,Terrace House,NA,"7,300",200 to 250,"2,000 to 2,500",Dec-24
SELETAR GARDEN,CACTUS ROAD,28,Terrace House,NA,"7,500",300 to 350,"3,000 to 3,500",Dec-24
PEIRCE VILLAS,PEIRCE HILL,10,Detached House,NA,"28,000",650 to 700,"7,000 to 7,500",Dec-24
YUNNAN GARDENS,YUNNAN WALK 1,22,Terrace House,NA,"7,000",200 to 250,"2,500 to 3,000",Dec-24
THE SPRINGSIDE,SPRINGSIDE VIEW,26,Terrace House,NA,"7,000",250 to 300,"2,500 to 3,000",Dec-24
GLASGOW GREEN,LEITH ROAD,19,Detached House,NA,"13,200",250 to 300,"2,500 to 3,000",Dec-24
THE TENERIFFE,LAUREL WOOD AVENUE,10,Terrace House,NA,"10,500",250 to 300,"3,000 to 3,500",Dec-24
SELBY GARDENS,LIM TAI SEE WALK,10,Semi-Detached House,NA,"8,500",250 to 300,"3,000 to 3,500",Dec-24
HILLCREST PARK,HILLCREST ROAD,11,Detached House,NA,"12,000",200 to 250,"2,500 to 3,000",Dec-24
THOMSON HILLS ESTATE,SERENADE WALK,20,Terrace House,NA,"7,200",150 to 200,"2,000 to 2,500",Dec-24
LENTOR VIEW,LENTOR VALE,26,Semi-Detached House,NA,"8,500",300 to 350,"3,000 to 3,500",Dec-24
SENNETT ESTATE,SIANG KUANG AVENUE,13,Terrace House,NA,"6,000",100 to 150,"1,000 to 1,500",Dec-24
HORIZON GARDENS,ANG MO KIO AVENUE 2,20,Terrace House,NA,"7,100",250 to 300,"2,500 to 3,000",Dec-24
SERANGOON PARK,WOLSKEL ROAD,13,Terrace House,NA,"7,100",150 to 200,"1,500 to 2,000",Dec-24
BRADDELL HEIGHTS ESTATE,CHILTERN DRIVE,13,Detached House,NA,"9,200",400 to 450,"4,000 to 4,500",Dec-24
SUNRISE VILLA,SUNRISE WALK,28,Terrace House,NA,"7,800",200 to 250,"2,500 to 3,000",Dec-24
YONG SENG ESTATE,JALAN PARAS,14,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Dec-24
THE GREENWOOD,GREENWOOD AVENUE,11,Terrace House,NA,"8,500",200 to 250,"2,000 to 2,500",Dec-24
PASIR PANJANG GARDENS,TAMAN MAS MERAH,05,Semi-Detached House,NA,"7,600",250 to 300,"3,000 to 3,500",Dec-24
FABER HILLS,FABER PARK,05,Detached House,NA,"13,000",250 to 300,"3,000 to 3,500",Dec-24
ISLAND PARK,JALAN TAMBUR,20,Semi-Detached House,NA,"5,800",250 to 300,"3,000 to 3,500",Dec-24
BINJAI CREST,JALAN KAMPONG CHANTEK,21,Terrace House,NA,"7,500",200 to 250,"2,500 to 3,000",Dec-24
TREVOSE 12,TREVOSE CRESCENT,11,Detached House,NA,"19,800",350 to 400,"4,000 to 4,500",Dec-24
SEMBAWANG SQUARE ESTATE,SEMBAWANG ROAD,27,Semi-Detached House,NA,"5,300",200 to 250,"2,000 to 2,500",Dec-24
SUNRISE VILLA,SUNRISE DRIVE,28,Semi-Detached House,NA,"6,700",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,TAN SIM BOH ROAD,11,Detached House,NA,"11,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,LAUREL WOOD AVENUE,10,Terrace House,NA,"7,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,ROBIN ROAD,10,Terrace House,NA,"26,000",600 to 650,"6,000 to 6,500",Nov-24
LANDED HOUSING DEVELOPMENT,LILY AVENUE,10,Semi-Detached House,NA,"14,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,NIVEN ROAD,09,Terrace House,NA,"6,800",200 to 250,"2,000 to 2,500",Nov-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"7,500",200 to 250,"2,000 to 2,500",Nov-24
WATTEN ESTATE,SHELFORD ROAD,11,Terrace House,NA,"6,100",150 to 200,"1,500 to 2,000",Nov-24
HAZEL PARK TERRACE,HAZEL PARK TERRACE,23,Terrace House,NA,"5,850",150 to 200,"2,000 to 2,500",Nov-24
THE TENERIFFE,LAUREL WOOD AVENUE,10,Terrace House,NA,"11,000",350 to 400,"4,000 to 4,500",Nov-24
PEOPLE'S GARDEN,LORONG 6 REALTY PARK,19,Terrace House,NA,"4,500",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN CHERMAT,19,Terrace House,NA,"6,600",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT TERRACE,15,Terrace House,NA,"7,100",150 to 200,"1,500 to 2,000",Nov-24
BUKIT VILLAS,RASOK DRIVE,25,Semi-Detached House,NA,"7,100",200 to 250,"2,000 to 2,500",Nov-24
BAN GUAN PARK,GREENLEAF ROAD,10,Semi-Detached House,NA,"9,500",200 to 250,"2,500 to 3,000",Nov-24
SEMBAWANG HILLS ESTATE,JALAN SAPPAN,20,Detached House,NA,"5,500",100 to 150,"1,000 to 1,500",Nov-24
GPL TERRACE,PUAY HEE AVENUE,13,Terrace House,NA,"7,840",300 to 350,"3,000 to 3,500",Nov-24
DALLA VALE,SPRINGLEAF AVENUE,26,Semi-Detached House,NA,"6,400",250 to 300,"3,000 to 3,500",Nov-24
ESTE VILLA,NIM ROAD,28,Terrace House,NA,"7,000",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,TREASURE ISLAND,04,Detached House,NA,"38,000",500 to 550,"5,500 to 6,000",Nov-24
SPRING PARK ESTATE,JALAN REMIS,16,Semi-Detached House,NA,"11,000",350 to 400,"3,500 to 4,000",Nov-24
CHEOW KENG GARDEN,CHEOW KENG ROAD,15,Terrace House,NA,"8,800",150 to 200,"1,500 to 2,000",Nov-24
ELIAS TERRACE,ELIAS TERRACE,18,Terrace House,NA,"6,300",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,CHUAN DRIVE,19,Semi-Detached House,NA,"8,500",200 to 250,"2,000 to 2,500",Nov-24
SOMMERVILLE PARK,FARRER DRIVE,10,Terrace House,NA,"11,100",250 to 300,"2,500 to 3,000",Nov-24
THE COMPASS AT CHANCERY,CHANCERY HILL ROAD,11,Terrace House,NA,"7,777",200 to 250,"2,500 to 3,000",Nov-24
BUKIT LOYANG ESTATE,JALAN CHELAGI,17,Semi-Detached House,NA,"4,600",100 to 150,"1,000 to 1,500",Nov-24
SOO CHOW GARDEN,SOO CHOW RISE,20,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Nov-24
LUCKY HILL,JALAN LIMAU NIPIS,16,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,14,Detached House,NA,"10,000",350 to 400,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,KEW HEIGHTS,16,Semi-Detached House,NA,"8,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,PONGGOL SEVENTEENTH AVENUE,19,Detached House,NA,"7,300",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,BEDOK ROAD,16,Semi-Detached House,NA,"5,000",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN HAJI SALAM,16,Semi-Detached House,NA,"10,000",200 to 250,"2,000 to 2,500",Nov-24
THE GARDENS AT GERALD,GERALD DRIVE,28,Terrace House,NA,"5,600",200 to 250,"2,000 to 2,500",Nov-24
THE TENERIFFE,LAUREL WOOD AVENUE,10,Terrace House,NA,"10,800",250 to 300,"3,000 to 3,500",Nov-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,100",150 to 200,"1,500 to 2,000",Nov-24
CLEMENTI PARK,SUNSET VALE,21,Detached House,NA,"8,800",200 to 250,"2,000 to 2,500",Nov-24
ORCHID VILLAGE,VANDA ROAD,11,Semi-Detached House,NA,"11,000",200 to 250,"2,500 to 3,000",Nov-24
TEACHER'S HOUSING ESTATE,TU FU AVENUE,26,Terrace House,NA,"7,300",150 to 200,"1,500 to 2,000",Nov-24
ESTE VILLA,NIM ROAD,28,Terrace House,NA,"7,000",350 to 400,"3,500 to 4,000",Nov-24
THE COUNTRYSIDE,COUNTRYSIDE ROAD,26,Terrace House,NA,"6,300",200 to 250,"2,000 to 2,500",Nov-24
CASA PERLA,WATTEN ESTATE ROAD,11,Detached House,NA,"12,161",350 to 400,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,KENG LEE ROAD,08,Semi-Detached House,NA,"8,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,WEST COAST ROAD,05,Terrace House,NA,"3,300",150 to 200,"1,500 to 2,000",Nov-24
CHUAN GARDEN,CHUAN GARDEN,19,Semi-Detached House,NA,"23,000",400 to 450,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,05,Terrace House,NA,"7,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Detached House,NA,"9,000",250 to 300,"3,000 to 3,500",Nov-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"6,800",250 to 300,"3,000 to 3,500",Nov-24
MING PARK,JALAN BINCHANG,20,Semi-Detached House,NA,"6,300",150 to 200,"2,000 to 2,500",Nov-24
WATTEN ESTATE,SHELFORD ROAD,11,Terrace House,NA,"6,500",150 to 200,"1,500 to 2,000",Nov-24
PALMS @ SIXTH AVENUE,SIXTH AVENUE,10,Semi-Detached House,NA,"12,500",400 to 450,"4,500 to 5,000",Nov-24
